STA_SID,DEJANSKA_RABA,OB_MID,ID_TIP_STAVBE,LETO_IZG_STA,LETO_OBN_STREHE,LETO_OBN_FASADE,ID_KONSTRUKCIJE,ID_OGREVANJE,UPORABNA_POVRSINA,NETO_TLORIS,HEATED_AREA,ENOSTANOVANJSKE_STAVBE,VECSTANOVANJSKE_STAVBE,STANOVANJSKE_STAVBE_ZA_POSEBNE_NAMEN,JAVNA_UPRAVA,TURIZEM_NASTANITVENI_OBJEKTI,STAVBE_ZA_KULTURO,OBREDNE_STAVBE,STAVBE_ZA_IZOBRAZEVANJE,STAVBE_ZA_ZDRAVSTVENO_OSKRBO,SPORTNA_DVORANA,POKRIT_PROSTOR_ZA_SPORT_IN_PRIREDITVE,POKRIT_PLAVALNI_BAZEN,INDUSTRIJA,POSLOVNO_STORITVENI_SEKTOR,BENCINSKI_SERVIS,PROMETNA_INFRASTRUKTURA,GASILSKI_DOM,OSTALO,ADDRESS,NA_MID,PREDICTED_HEAT_m2,PREDICTED_HEAT_kWh,TEMP_DEFICIT,Naziv namen naprave,Naziv vrsta naprave,kW_m2_stevilo,INSTALLATION_YEAR,ELKO,ZP,UNP,BIOMASS,PELETI,SEKANCI,POLENA,NARAVNI_LES,HEAT_PUMP_AIR,HEAT_PUMP_GROUND,SOLAR_THERMAL,GEOTHERMAL,DISTRICT_HEAT,COAL,NA_FUEL,DATA_SOURCE,FINAL_ENERGY_m2,USEFUL_ENERGY_CLASS,FINAL_ENERGY_CLASS,card_number
10109842,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1960,0,0,opeka,"centralno ogrevanje, ",81.1,85.0,81.1,81.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 11,10102413,106.0,9093,3700,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,29.0,2014.0,9572,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,112,E,E,
10109844,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1992,0,0,opeka,"centralno ogrevanje, ",53.0,175.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 9B,10102413,46.0,8215,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,1990.0,0,0,0,0,0.0,0.0,0.0,8929.397284109924,0,0,0,0,0,0,0,Evidim,51,C,C,
10109846,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1996,0,0,opeka,"centralno ogrevanje, ",63.6,200.0,63.6,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 9A,10102413,56.0,11279,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,1995.0,0,0,0,0,0.0,0.0,0.0,12259.845859062765,0,0,0,0,0,0,0,Evidim,61,C,D,
10109847,Drug kmetijski del stavbe,11026630,samostoječa,1938,0,0,drug material,"centralno ogrevanje, ",192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,,0,89.0,17200,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,19111,Ni vira,99,D,D,
10109848,Hlev,11026630,samostoječa,1940,0,0,opeka,"ni ogrevanja, ",195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,,0,85.0,16741,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,18601,Ni vira,95,D,D,
10109849,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1938,0,0,kamen,"drugo ogrevanje, ",128.0,256.5,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 10,10102413,66.0,17066,3700,Ogrevanje zraka,Lokalna kurilna naprava - štedilnik,10.0,1950.0,0,0,0,0,0.0,0.0,0.0,19175.486711429556,0,0,0,0,0,0,0,Evidim,74,D,D,
10109850,Čebelnjak,11026630,samostoječa,1979,0,0,les,"ni ogrevanja, ",9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,0,231.0,2082,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,2313,Ni vira,257,G,G,
10109853,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1970,1999,0,opeka,"centralno ogrevanje, ",132.7,241.8,132.7,0.0,132.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 36,10102413,72.0,17537,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,31.0,2011.0,0,0,0,0,18460.246075061044,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,76,D,D,
10109854,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1967,1999,2001,opeka,"centralno ogrevanje, ",188.0,315.5,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 46,10102413,59.0,18643,3700,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,25.0,2009.0,19624,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,62,C,D,
10109856,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1990,0,0,opeka,"centralno ogrevanje, ",129.0,264.6,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 3,10102413,50.0,13255,3500,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,25.0,1990.0,14407,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,54,C,C,
10109859,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,2002,0,0,opeka,"centralno ogrevanje, ",89.0,351.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 12,10102413,33.0,11653,3700,Ogrevanje zraka,Centralna kurilna naprava - etažni kamin,12.0,2015.0,0,0,0,0,0.0,0.0,0.0,12266.650411420593,0,0,0,0,0,0,0,Evidim,34,B2,B2,
10109860,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1973,0,0,opeka,"centralno ogrevanje, ",162.0,290.0,162.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 41,10102413,47.0,13834,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,37.0,2007.0,0,0,0,0,0.0,0.0,0.0,14717.913175887243,0,0,0,0,0,0,0,Evidim,50,C,C,
10109864,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1950,1980,0,opeka,"drugo ogrevanje, ",74.3,74.3,74.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 13,10102413,136.0,10130,3700,,vgradnja toplotne črpalke za centralno ogrevanje stanovanjske stavbe,7.0,2018,0,0,0,0,0.0,0.0,0.0,0.0,10130,0,0,0,0,0,0,Eko sklad,136,E,E,
10109865,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1993,0,0,opeka,"centralno ogrevanje, ",154.5,322.6,154.5,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 53,10102413,52.0,16875,3700,,vgradnja toplotne črpalke za pripravo sanitarne tople vode in/ali centralno ogrevanje stanovanjske stavbe,1.0,2014,0,0,0,0,0.0,0.0,0.0,0.0,16875,0,0,0,0,0,0,Eko sklad,52,C,C,
10109866,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1962,0,0,opeka,"centralno ogrevanje, ",227.8,461.4,227.8,0.0,227.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 35,10102413,41.0,19108,3500,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,2007.0,0,0,0,0,0.0,0.0,0.0,20328.402512551915,0,0,0,0,0,0,0,Evidim,44,C,C,
10109868,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1950,2002,2006,drug material,"centralno ogrevanje, ",112.0,113.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 19,10102413,142.0,16114,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,2007.0,0,0,0,0,0.0,0.0,0.0,17143.310993769708,0,0,0,0,0,0,0,Evidim,151,E,F,
10109870,Drug kmetijski del stavbe,11026630,samostoječa,1970,0,0,drug material,"ni ogrevanja, ",13.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,,0,259.0,3505,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,3894,Ni vira,288,G,G,
10109871,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1992,0,0,"beton, železobeton","centralno ogrevanje, ",206.8,313.0,206.8,206.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 51,10102413,72.0,22666,3700,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,35.0,1991.0,24637,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,78,D,D,
10109872,Prostor za spravilo pridelka,11026630,samostoječa,1986,0,0,les,"ni ogrevanja, ",72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,,0,139.0,10074,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,11194,Ni vira,155,E,F,
10109873,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1984,0,0,opeka,"centralno ogrevanje, ",79.6,207.1,79.6,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 48,10102413,57.0,11936,3500,Ogrevanje zraka,Centralna kurilna naprava - etažni kamin,25.0,1995.0,0,0,0,0,0.0,0.0,0.0,12974.626756721005,0,0,0,0,0,0,0,Evidim,62,C,D,
10109875,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1989,0,0,opeka,"ni ogrevanja, ",278.0,278.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 52,10102413,92.0,25830,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,29.0,2012.0,0,0,0,0,0.0,0.0,0.0,27190.089241613558,0,0,0,0,0,0,0,Evidim,97,D,D,
10109877,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1992,1992,2001,opeka,"centralno ogrevanje, ",255.8,326.1,255.8,0.0,255.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 14,10102413,59.0,19290,3500,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,40.0,2006.0,0,0,0,0,0.0,0.0,0.0,20522.250536755342,0,0,0,0,0,0,0,Evidim,62,C,D,
10109878,Drug kmetijski del stavbe,11026630,samostoječa,2003,0,0,opeka,"centralno ogrevanje, ",20.1,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,,0,230.0,4640,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,5156,Ni vira,256,G,G,
10109879,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1973,1997,0,opeka,"centralno ogrevanje, ",185.0,220.1,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 16,10102413,93.0,20651,3700,Ogrevanje zraka,Centralna kurilna naprava - etažni kamin,35.0,1950.0,0,0,0,0,0.0,0.0,0.0,23203.96733444171,0,0,0,0,0,0,0,Evidim,105,D,D,
10109880,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1978,2000,2002,"beton, železobeton","centralno ogrevanje, ",102.0,144.8,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 16A,10102413,83.0,12117,3500,,,,,0,0,0,0,,,,,0,0,0,0,0,0,13464,Ni vira,92,D,D,
10109881,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,2000,0,0,"beton, železobeton","centralno ogrevanje, ",126.3,330.1,126.3,126.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 20A,10102413,41.0,13716,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,25.0,2000.0,0,0,0,0,0.0,0.0,0.0,14591.67699606218,0,0,0,0,0,0,0,Evidim,44,C,C,
10109882,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1969,1978,0,opeka,"centralno ogrevanje, ",54.3,119.6,54.3,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 20,10102413,85.0,10271,3700,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,25.0,1990.0,11164,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,93,D,D,
10109883,garaža,11026630,samostoječa,1974,0,0,opeka,"ni ogrevanja, ",29.7,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,,0,254.0,7562,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,8402,Ni vira,282,G,G,
10109884,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1928,2000,2005,kombinacija različnih materialov,"centralno ogrevanje, ",137.2,216.4,137.2,0.0,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 21,10102413,50.0,10965,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,2000.0,0,0,0,0,11665.4859963272,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,53,C,C,
10109886,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1975,2005,0,opeka,"centralno ogrevanje, ",50.9,102.5,50.9,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 21A,10102413,73.0,7579,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,2006.0,0,0,0,0,0.0,0.0,0.0,8063.041153350167,0,0,0,0,0,0,0,Evidim,78,D,D,
10109888,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1968,2006,0,opeka,"centralno ogrevanje, ",110.4,203.5,110.4,110.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 22,10102413,75.0,15430,3700,Ogrevanje,Centralna kurilna naprava - kotel,30.0,1972.0,0,0,0,0,0.0,0.0,0.0,17337.504066935246,0,0,0,0,0,0,0,Evidim,85,D,D,
10109889,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1993,0,0,opeka,"centralno ogrevanje, ",116.3,271.7,116.3,116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 22A,10102413,47.0,12802,3500,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,30.0,1989.0,14384,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,52,C,C,
10109890,"Penzion, gostišče",11026630,samostoječa,1982,2012,2012,opeka,"drugo ogrevanje, ",711.7,1153.0,711.7,0.0,0.0,0.0,0.0,711.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,78.0,90255,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,100284,Ni vira,86,D,D,
10109891,Stanovanje v samostoječi stavbi z dvema stanovanjema,11026630,samostoječa,1950,1995,1990,kombinacija različnih materialov,"centralno ogrevanje, ",204.0,240.0,204.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 27,10102413,78.0,18795,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,20883,Ni vira,87,D,D,
10109894,Prostor za spravilo pridelka,11026630,samostoječa,1982,2006,0,les,"ni ogrevanja, ",28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,0,226.0,6331,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,7035,Ni vira,251,G,G,
10109895,"garaža,  Industrijski del stavbe,  Drug kmetijski del stavbe",11026630,samostoječa,1983,0,0,opeka,"drugo ogrevanje, ",55.89999999999999,55.89999999999999,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,36.7,,0,133.0,7466,3500,,,,,0,0,0,0,,,,,0,0,0,0,0,0,8296,Ni vira,148,E,E,
10109897,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1952,1988,0,opeka,"centralno ogrevanje, ",156.0,284.2,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 29,10102413,53.0,15313,3700,,vgradnja toplotne črpalke za centralno ogrevanje stanovanjske stavbe,15.0,2019,0,0,0,0,0.0,0.0,0.0,0.0,15313,0,0,0,0,0,0,Eko sklad,53,C,C,
10109900,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1978,2006,0,opeka,"centralno ogrevanje, ",182.4,281.7,182.4,182.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 28,10102413,68.0,19318,3700,Ogrevanje zraka,Lokalna kurilna naprava - kmečka peč,25.0,1950.0,0,0,0,0,0.0,0.0,0.0,21706.07390979142,0,0,0,0,0,0,0,Evidim,77,D,D,
10109904,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1967,0,1982,opeka,"centralno ogrevanje, ",93.6,175.8,93.6,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 24,10102413,69.0,12210,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,2009.0,0,0,0,0,0.0,0.0,0.0,12853.005843708293,0,0,0,0,0,0,0,Evidim,73,D,D,
10109906,Hlev,11026630,samostoječa,1973,0,0,opeka,"ni ogrevanja, ",73.5,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,,0,131.0,9700,3500,,,,,0,0,0,0,,,,,0,0,0,0,0,0,10778,Ni vira,146,E,E,
10109907,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1850,1954,1960,kamen,"drugo ogrevanje, ",32.5,45.3,32.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 23,10102413,90.0,4097,3700,Ogrevanje zraka,Lokalna kurilna naprava - štedilnik,8.0,2000.0,0,0,0,0,0.0,0.0,0.0,4359.269335020413,0,0,0,0,0,0,0,Evidim,96,D,D,
